type, Leaf Node,Leaf Interface,Leaf IP Address,Port-Channel,Peer Node,Peer Interface,Peer IP Address,Port-Channel
L3 Leaf,DC1-LEAF1A,Ethernet1,172.31.254.1/31,N/A,DC1-SPINE1,Ethernet1,172.31.254.0/31,N/A
L3 Leaf,DC1-LEAF1A,Ethernet2,172.31.254.3/31,N/A,DC1-SPINE2,Ethernet1,172.31.254.2/31,N/A
L3 Leaf,DC1-LEAF1B,Ethernet1,172.31.254.5/31,N/A,DC1-SPINE1,Ethernet2,172.31.254.4/31,N/A
L3 Leaf,DC1-LEAF1B,Ethernet2,172.31.254.7/31,N/A,DC1-SPINE2,Ethernet2,172.31.254.6/31,N/A
L3 Leaf,DC1-LEAF2A,Ethernet1,172.31.254.9/31,N/A,DC1-SPINE1,Ethernet3,172.31.254.8/31,N/A
L3 Leaf,DC1-LEAF2A,Ethernet2,172.31.254.11/31,N/A,DC1-SPINE2,Ethernet3,172.31.254.10/31,N/A
L3 Leaf,DC1-LEAF2B,Ethernet1,172.31.254.13/31,N/A,DC1-SPINE1,Ethernet4,172.31.254.12/31,N/A
L3 Leaf,DC1-LEAF2B,Ethernet2,172.31.254.15/31,N/A,DC1-SPINE2,Ethernet4,172.31.254.14/31,N/A
L2 Leaf,DC1-L2LEAF1A,Ethernet1,N/A,Po1,DC1-LEAF1A,Ethernet5,N/A,Po5
L2 Leaf,DC1-L2LEAF1A,Ethernet2,N/A,Po1,DC1-LEAF1B,Ethernet5,N/A,Po5
L2 Leaf,DC1-L2LEAF2A,Ethernet1,N/A,Po1,DC1-LEAF2A,Ethernet5,N/A,Po5
L2 Leaf,DC1-L2LEAF2A,Ethernet2,N/A,Po1,DC1-LEAF2B,Ethernet5,N/A,Po5
