Node Type,Node,Node Interface,Peer Type,Peer,Peer Interface
l3leaf,DC-LEAF1,Ethernet1,spine,DC-SPINE1,Ethernet1
l3leaf,DC-LEAF1,Ethernet2,spine,DC-SPINE2,Ethernet1
l3leaf,DC-LEAF1,Ethernet5,server,server01,E1
l3leaf,DC-LEAF1,Ethernet6,server,server02,E1
l3leaf,DC-LEAF1,Ethernet7,server,server03,E1
l3leaf,DC-LEAF2,Ethernet1,spine,DC-SPINE1,Ethernet2
l3leaf,DC-LEAF2,Ethernet2,spine,DC-SPINE2,Ethernet2
l3leaf,DC-LEAF2,Ethernet5,server,server01,E2
l3leaf,DC-LEAF2,Ethernet6,server,server02,E2
l3leaf,DC-LEAF2,Ethernet7,server,server03,E2
l3leaf,DC-LEAF2,Ethernet8,server,server04,E1
l3leaf,DC-LEAF3,Ethernet1,spine,DC-SPINE1,Ethernet3
l3leaf,DC-LEAF3,Ethernet2,spine,DC-SPINE2,Ethernet3
l3leaf,DC-LEAF3,Ethernet5,server,server05,E1
l3leaf,DC-LEAF3,Ethernet6,server,server06,E1
l3leaf,DC-LEAF3,Ethernet7,server,server03,E3
l3leaf,DC-LEAF3,Ethernet8,server,server04,E2
l3leaf,DC-LEAF4,Ethernet1,spine,DC-SPINE1,Ethernet4
l3leaf,DC-LEAF4,Ethernet2,spine,DC-SPINE2,Ethernet4
l3leaf,DC-LEAF4,Ethernet5,server,server05,E2
l3leaf,DC-LEAF4,Ethernet6,server,server06,E2
spine,DC-SPINE1,Ethernet1,l3leaf,DC-LEAF1,Ethernet1
spine,DC-SPINE1,Ethernet2,l3leaf,DC-LEAF2,Ethernet1
spine,DC-SPINE1,Ethernet3,l3leaf,DC-LEAF3,Ethernet1
spine,DC-SPINE1,Ethernet4,l3leaf,DC-LEAF4,Ethernet1
spine,DC-SPINE2,Ethernet1,l3leaf,DC-LEAF1,Ethernet2
spine,DC-SPINE2,Ethernet2,l3leaf,DC-LEAF2,Ethernet2
spine,DC-SPINE2,Ethernet3,l3leaf,DC-LEAF3,Ethernet2
spine,DC-SPINE2,Ethernet4,l3leaf,DC-LEAF4,Ethernet2
